adad dede
addend desene
adiate saiste
ado ado
aha ara
anodos anosha
arad arad
ared ared
arena arena
arshin arorin
athar atear
dan dan
danaid anania
dasher essher
die ete
dinero einero
dished atared
diter diter
doest shese
dorter dorter
dos esh
dosser shaser
droner ironer
easier taster
editor taitor
endite enedie
ensand hasand
hade rade
hard rare
harden harsea
hatred edered
hatted eattee
hent hent
here rere
herne herad
het eee
hithe riere
hoard roari
horser horaer
insane inanad
neat nese
nesh nesh
netted neteed
nidi niai
noon nson
ohia seda
ona ona
orad orad
ortet ortet
radii rasti
rase rast
ratoon rathon
reader reader
renter renter
resent resene
restes restes
retain retain
retin retin
risser rtoder
rod rod
sah sar
said onda
seeder steder
sense henat
serai serai
sere dere
set sti
shear shear
sheth shete
shiner ssiner
shoat shost
sind hina
snead onese
soda shen
soho osho
sooth soser
steen steta
stere atere
stroth seroto
tahr iner
tash taso
tasse tasse
teathe etaist
tenio tenis
teras teras
terne terat
testa teata
theat thest
these tedod
thin thin
tho tho
throe terot
tined ttate
tinted etatee
toast tonot
tooroo tooroo
torrid ishrid
toss thad
toston toston
tote tote
trant erant
triton erdesa
trode erosh
tsar edar
Total chars:510
Matched # of Chars:338
Total words:104
Matched # of Words:27
Avg Dataset log-likelihood:-7.097070661168166
