adad dede
addend deeene
adiate saiste
ado ado
aha ara
anodos anosos
arad arad
ared ared
arena arena
arshin arorin
athar atear
dan dan
danaid anania
dasher essher
die ete
dinero einero
dished diared
diter diter
doest shese
dorter dorter
dos esh
dosser sosser
droner ironer
easier enater
editor taitor
endite enedie
ensand ensand
hade rade
hard rare
harden harsea
hatred edered
hatted eattee
hent hent
here rere
herne herne
het eee
hithe riere
hoard roari
horser horaer
insane inanne
neat nese
nesh nesh
netted netted
nidi niai
noon noon
ohia seda
ona ona
orad orad
ortet ortet
radii rastt
rase rast
ratoon ratoon
reader reader
renter renter
resent resene
restes restes
retain retain
retin retin
risser ridder
rod rod
sah sar
said onda
seeder seeder
sense dende
serai serai
sere dere
set sti
shear shear
sheth sheth
shiner ssiner
shoat shost
sind hina
snead onese
soda shen
soho oses
sooth sooer
steen steen
stere atere
stroth serser
tahr iner
tash taso
tasse tasse
teathe eesere
tenio tenis
teras teras
terne terae
testa teata
theat thest
these tedod
thin thin
tho tho
throe terot
tined ttate
tinted tiatee
toast tonot
tooroo tooroo
torrid torrid
toss toss
toston toston
tote tote
trant erane
triton erdesa
trode erosh
tsar edar
Total chars:510
Matched # of Chars:363
Total words:104
Matched # of Words:37
Avg Dataset log-likelihood:-5.822766489298879
